X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Msx2,0.000354974,0.000224655,0.000290334,0.004304317,9.88E-05,0.000292353,0.000255392,0.000250136,0.000142673,0.000261663,0.000203879,0.000235824,0.000263483,0.000367492,0.000228582,0.000342882,0.000483231
Nanog,0.196146024,0.145591698,0.161544104,0.210224104,0.101180277,0.112656308,0.136313467,0.09182304,0.12200397,0.20166044,0.170755032,0.152830035,0.20877198,0.193445624,0.284204243,0.624165274,0.176165094
Pdgfa,0.093428078,0.150725978,0.110337875,0.096054699,0.063592481,0.086569342,0.091188772,0.050942021,0.056916865,0.075362989,0.127626516,0.152830035,0.147624083,0.133971683,0.196826994,0.095391201,0.192776353
Pdgfra,0.000354974,0.000224655,0.00464534,0.000306888,0.000539908,0.001631031,0.005429368,0.003140043,0.000142673,0.001835005,0.000203879,0.000235824,0.000263483,0.000367492,0.000228582,0.000342882,0.000483231
Pecam1,0.10153155,0.069348092,0.083042863,0.062934722,0.02327621,0.071793647,0.051296351,0.027489034,0.035280138,0.028164077,0.028359974,0.033725882,0.033725882,0.051474439,0.044041274,0.004910208,0.087474117
Pou5f1,0.204475515,0.22221067,0.071793647,0.095391201,0.027872766,0.301451957,0.249135066,0.203768083,0.132585968,0.133046273,0.217637641,0.275476279,0.341510064,0.279321785,0.250867937,0.175555609,0.272626933
Runx1,0.000354974,0.000224655,0.000290334,0.000306888,9.88E-05,0.000292353,0.000255392,0.001495662,0.000142673,0.000261663,0.000203879,0.000235824,0.000263483,0.000367492,0.000228582,0.000342882,0.000483231
Sox2,0.554784736,0.411795509,0.532185091,0.423372656,0.205185402,0.852634892,0.613442489,0.31316611,0.359733395,0.392292049,0.578344092,0.721964598,1.222640278,1.117287138,0.996540263,0.747424624,0.648419777
Sall4,0.236514412,0.200267469,0.186856156,0.166085727,0.095061172,0.126744935,0.074068298,0.125433969,0.061426287,0.131214585,0.312082637,0.150725978,0.22221067,0.295248165,0.298333936,0.110337875,0.377618146
Sox17,0.006944083,0.002182201,0.010026765,0.01074642,0.010783729,0.01573368,0.011319861,0.017886315,0.24400794,0.000261663,0.005601388,0.008144264,0.016401823,0.080214119,0.000228582,0.570381858,0.020832792
Snail,0.003150944,0.000224655,0.009420374,0.00390625,0.007785471,0.007238969,0.000255392,0.000250136,0.003786288,0.000261663,0.000203879,0.000235824,0.004742949,0.012958118,0.000228582,0.008257953,0.000483231
Sox13,0.042688758,0.008608634,0.000290334,0.000306888,0.000230172,0.000292353,0.017039183,0.001803481,0.000142673,0.000261663,0.035402621,0.016064279,0.007651721,0.008200912,0.025295069,0.004549741,0.000483231
Tcfap2a,0.004613253,0.002355093,0.000290334,0.000306888,9.88E-05,0.000292353,0.000255392,0.000250136,0.000142673,0.000261663,0.000203879,0.000235824,0.000263483,0.000367492,0.000228582,0.001032244,0.000483231
Tcfap2c,0.055939067,0.03742121,0.063813258,0.070316155,0.029462017,0.038473263,0.050942021,0.048866853,0.021567459,0.052192995,0.028164077,0.01573368,0.036146506,0.045122787,0.050590139,0.028955877,0.06768594
Tcf23,0.000354974,0.009290681,0.001193985,0.00439476,9.88E-05,0.003721242,0.009992075,0.006066163,0.02012315,0.000261663,0.011841536,0.000235824,0.000263483,0.000367492,0.000228582,0.000342882,0.000483231
Utf1,0.007976657,0.044811102,0.028955877,0.041521432,0.034078367,0.061639544,0.038075321,0.045594386,0.057312753,0.042101049,0.060790934,0.048361406,0.078563336,0.10153155,0.066292984,0.029360086,0.137261602
Tspan8,0.001083564,0.007139308,0.000923884,0.000306888,0.002550507,0.00130657,0.001706197,0.000250136,0.001014511,0.000261663,0.002306626,0.000235824,0.001161335,0.000367492,0.004726539,0.011048543,0.000483231
