X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Fn1,0.006848482,0.008698606,0.00393342,0.006172198,0.003786288,0.007572577,0.032577055,0.026369244,0.010972226,0.005391865,0.025382887,0.011398596,0.012913286,0.017824433,0.010308656,0.001141384,0.05041511,0.022097087,0.010416396,0.019505165,0.008608634,0.009718841,0.000147193,0.002137292,0.026737345,0.013230396,0.003022588,0.000224655,0.015463385,0.069348092,0.002463628,0.018010724,0.00800435,0.005819053,0.018325546,0.019236631,0.013048249,0.013792234
Gata3,0.026460791,0.040808118,0.025382887,0.070805243,0.027872766,0.038075321,0.05041511,0.029056404,0.029564301,0.027489034,0.058720172,0.015463385,0.006108357,0.043284671,0.091505356,0.029666941,0.021642335,0.096054699,0.009718841,0.012344395,0.010096506,0.016688522,0.000147193,0.008144264,0.009258537,0.079109787,0.008789519,0.035896824,0.018906158,0.018971795,0.000149766,0.247414164,0.048194088,0.000275626,0.036906021,0.044501569,0.000265316,0.091505356
Gata4,0.979420298,1.128964405,1.347233577,1.189207115,0.955945318,1.04608494,2.549121255,0.622005827,0.721964598,0.787307977,0.562529242,0.592546385,0.136313467,0.447512535,0.702222438,0.57236208,0.920187651,0.607097442,0.690158677,0.176776695,0.668963777,0.372419366,0.463294031,0.554784736,0.439824538,0.466516496,0.558643569,0.558643569,0.729510172,1.00695555,1.003471749,0.452189689,0.792784137,0.910669834,1.257013375,0.327598351,0.882702996,1.049716684
Gata6,0.0625,0.097733705,0.179244406,0.143587294,0.078836088,0.079384436,0.068393356,0.137261602,0.059539875,0.037551127,0.094732285,0.090558885,0.063592481,0.081333866,0.021642335,0.072042897,0.133971683,0.043284671,0.052738487,0.084202099,0.062068281,0.056916865,0.087777805,0.021642335,0.083331167,0.02683017,0.07588718,0.096054699,0.038340156,0.148650889,0.063592481,0.048529305,0.072543995,0.081052472,0.06515411,0.112656308,0.139660892,0.042393885
Grhl1,0.004072132,0.000167332,0.000142179,0.000218512,0.004927256,0.000200376,0.000342882,0.000168496,0.002743056,8.25E-05,0.000201072,0.000105169,9.28E-05,0.003330605,0.001004017,0.000115086,0.001784827,0.000455583,0.000119145,0.00012039,0.000112328,0.00112567,0.000147193,0.000111552,0.003228322,0.000227791,0.000156668,0.000224655,0.00020177,0.000182477,0.003436129,0.069108166,0.000287331,0.000275626,0.000258061,0.003064782,0.000265316,0.000254508
Grhl2,0.004978752,0.021418481,0.021642335,0.016176014,0.003606962,0.013555292,0.035648866,0.004996037,0.004304317,0.012913286,0.006258358,0.010783729,0.00794906,0.008490116,0.117440344,0.0160087,0.000232578,0.000455583,0.003365415,0.004100456,0.003594483,0.005429368,0.000147193,0.000111552,0.00506578,0.010452559,0.000156668,0.000224655,0.008344261,0.000182477,0.003919812,0.039145764,0.000287331,0.005582008,0.007340021,0.013696964,0.009957505,0.000254508
Hand1,0.002438146,0.015788304,0.000142179,0.000218512,0.011164017,0.000200376,0.000342882,0.012647535,0.002093308,0.008638521,0.000201072,0.000105169,9.28E-05,0.009485898,0.084202099,0.005778857,0.000232578,0.000455583,0.001742048,0.00012039,0.000112328,0.001718065,0.000147193,0.000111552,0.007114608,0.000227791,0.000156668,0.000224655,0.00020177,0.001597465,0.009453079,0.062283766,0.000287331,0.016345077,0.000258061,0.00026902,0.0078125,0.000254508
Hnf4a,0.013696964,0.011086901,0.02351948,0.006801176,0.007416735,0.001580942,0.000342882,0.008943158,0.014377932,0.003606962,0.000201072,0.000105169,0.00046677,0.000798732,0.012259127,0.007839623,0.000232578,0.000455583,0.018645871,0.00012039,0.000112328,0.022328033,0.032577055,0.051118879,0.060580614,0.009420374,0.053289681,0.014377932,0.064480199,0.000182477,0.101884042,0.14309052,0.02295576,0.005280902,0.000258061,0.00026902,0.000265316,0.037681495
Id2,0.000124635,0.001959906,0.009036626,0.000218512,0.000460344,0.000200376,0.000342882,0.004143311,0.002820174,0.049549009,0.000201072,0.000105169,9.28E-05,0.001352646,0.007651721,0.000115086,0.000232578,0.000455583,0.000119145,0.00012039,0.000112328,7.23E-05,0.001724029,0.007391075,0.00020177,0.006479059,0.00319493,0.000465155,0.00020177,0.002541683,0.001625388,0.001718065,0.000287331,0.000275626,0.000804288,0.004549741,0.000265316,0.00261314
Klf2,0.000124635,0.000167332,0.005048253,0.001343303,0.00286947,0.003682752,0.005299236,0.001516541,0.00439476,0.011882647,0.000201072,0.000105169,0.000692931,0.000164457,0.001004017,0.000115086,0.000232578,0.000455583,0.000119145,0.00012039,0.000112328,0.000707491,0.000147193,0.000943297,0.00020177,0.000227791,0.000156668,0.000224655,0.00020177,0.000182477,0.000149766,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.006345722,0.015303442
Klf4,0.088388348,0.04591152,0.031686234,0.087171479,0.047202268,0.136313467,0.073812041,0.040526236,0.042101049,0.064480199,0.010821168,0.049206749,0.037291742,0.019505165,0.02683017,0.066754088,0.002421304,0.011280697,0.050590139,0.012259127,0.02351948,0.052012421,0.019103754,0.019103754,0.081052472,0.026278013,0.024860515,0.081333866,0.036271997,0.028359974,0.019170078,0.009585039,0.06768594,0.068156733,0.069830446,0.022250784,0.092141826,0.083620472
Klf5,0.002036066,0.003183876,0.006003419,0.007139308,0.00431926,0.008638521,0.012516717,0.00489322,0.005154328,0.003296155,0.009036626,0.008820034,0.00573894,0.009618316,0.017098339,0.004086269,0.003472042,0.002421304,0.00253289,0.008200912,0.004518313,0.003460029,0.005486113,0.003799433,0.003606962,0.004157696,0.005299236,0.006992383,0.003296155,0.012344395,0.004597292,0.002057346,0.008698606,0.006920059,0.002064488,0.006848482,0.003695538,0.001219073
Krt8,0.019777447,0.004259796,0.026096497,0.000793215,0.005505159,0.018906158,0.000342882,0.012473412,0.003448059,0.008638521,0.002879432,0.007314627,0.006872258,0.020617311,0.001004017,0.001035828,0.000247549,0.000455583,0.000303714,0.00012039,0.000553166,0.001357342,0.000147193,0.000280444,0.00020177,0.00053804,0.000156668,0.000224655,0.00020177,0.000182477,0.000149766,0.001718065,0.000287331,0.00075827,0.000258061,0.00026902,0.000523327,0.001129578
Lcp1,0.000495097,0.000167332,0.000142179,0.000218512,0.000188258,0.001249009,0.00401607,0.000168496,0.000123774,0.005582008,0.001076079,0.002480764,0.006592311,0.000815516,0.00537321,0.000683392,0.000976563,0.000455583,0.001293056,0.001083564,0.000734984,0.000712412,0.000990195,0.000111552,0.000262572,0.002939935,0.000605326,0.000224655,0.000260758,0.001419895,0.000953156,0.001718065,0.000287331,0.000275626,0.002595089,0.000644291,0.00191293,0.000254508
Mbnl3,0.001039424,0.000503752,0.000142179,0.000709948,0.000188258,0.000344072,0.000342882,0.000168496,0.000123774,0.001043033,0.000201072,0.000551252,0.000250136,0.013415085,0.001004017,0.000115086,0.000232578,0.000512557,0.000119145,0.000265316,0.000755647,7.23E-05,0.003825861,0.001202289,0.001754165,0.000990195,0.000156668,0.000224655,0.000582683,0.00053804,0.000149766,0.001718065,0.002057346,0.000275626,0.000258061,0.00026902,0.000265316,0.000886249
Msc,0.000124635,0.000167332,0.000142179,0.000218512,0.000188258,0.000200376,0.006944083,0.000168496,0.000123774,8.25E-05,0.000201072,0.000426549,9.28E-05,0.000164457,0.001004017,0.000115086,0.000232578,0.008608634,0.000119145,0.011048543,0.002743056,7.23E-05,0.000147193,0.000111552,0.00020177,0.000227791,0.000156668,0.000224655,0.00020177,0.000182477,0.000149766,0.001718065,0.000287331,0.000275626,0.000258061,0.008315392,0.000265316,0.000254508
Msx2,0.012174447,0.003582047,0.001362054,0.001439716,0.007114608,0.002100575,0.013696964,0.000168496,0.00219738,0.002586111,0.000201072,0.007894152,0.003183876,0.000164457,0.05366034,0.015788304,0.000232578,0.010821168,0.003460029,0.006848482,0.004274585,0.004349303,0.009036626,0.003799433,0.006546774,0.000227791,0.006992383,0.000224655,0.013555292,0.005118724,0.000149766,0.001718065,0.014629254,0.024774504,0.000258061,0.00026902,0.018073253,0.000254508
Nanog,0.001137435,0.000167332,0.000685764,0.000700173,0.000188258,0.003682752,0.004775939,0.003228322,0.000874048,0.004086269,0.003448059,0.001893144,0.002100575,0.006992383,0.003129179,0.002463628,0.002182201,0.003129179,0.005778857,0.003472042,0.000112328,0.004597292,0.003472042,0.000111552,0.005030788,0.014278616,0.000465155,0.004613253,0.002586111,0.004944362,0.000927092,0.001718065,0.000287331,0.001946368,0.005562696,0.00026902,0.000265316,0.000541782
Pdgfa,0.062934722,0.000167332,0.017217267,0.054033577,0.030500993,0.014033318,0.016980232,0.028066637,0.001210652,0.015788304,0.008315392,0.013003105,0.017397213,0.01067219,0.050066867,0.031358492,0.000232578,0.000455583,0.028855697,0.00012039,0.005640348,0.015788304,0.051474439,0.115023456,0.059333883,0.005410584,0.0625,0.03983002,0.166662335,0.032803646,0.059746582,0.364755086,0.016232173,0.044656067,0.005562696,0.035648866,0.009551877,0.025207555
Pdgfra,0.071793647,0.073048578,0.080772052,0.079660039,0.047530586,0.075624631,0.193445624,0.10330629,0.035402621,0.027110584,0.092141826,0.054978067,0.037291742,0.071793647,0.116629124,0.048194088,0.244855074,0.236514412,0.111491065,0.13030822,0.149684838,0.176165094,0.094732285,0.043888902,0.170164265,0.115823508,0.08478777,0.189464571,0.125433969,0.203063099,0.172539669,0.261521235,0.247414164,0.183646079,0.289172046,0.200267469,0.167240944,0.125
Pecam1,0.003022588,0.000167332,0.004910208,0.000218512,0.001495662,0.000200376,0.012344395,0.002205009,0.000123774,0.001485331,0.00854917,0.005859527,0.007520269,0.014377932,0.001004017,0.002029022,0.000232578,0.008315392,0.003582047,0.004944362,0.000112328,0.001347966,0.000147193,0.000714886,0.003273387,0.000227791,0.000156668,0.000224655,0.00020177,0.004186615,0.00286947,0.001718065,0.000287331,0.0171577,0.007340021,0.00026902,0.012516717,0.000254508
Pou5f1,0.041521432,0.085673925,0.10732068,0.123279088,0.123707082,0.102592701,0.303548721,0.032690154,0.017579039,0.017397213,0.051118879,0.032464347,0.029873291,0.028755864,0.005920768,0.095061172,0.213158723,0.085971364,0.089933349,0.050066867,0.063372467,0.020832792,0.114228931,0.124136562,0.106210625,0.135841858,0.146604369,0.198884121,0.131670129,0.13030822,0.064480199,0.119493165,0.268873598,0.192776353,0.203063099,0.153893052,0.23981603,0.146604369
Runx1,0.024348893,0.058517015,0.058720172,0.10732068,0.082755557,0.061001985,0.063372467,0.029056404,0.023195681,0.03179624,0.027204705,0.028261856,0.017762765,0.06515411,0.179244406,0.079384436,0.098073012,0.005048253,0.075624631,0.020760716,0.050066867,0.029258508,0.085377516,0.078563336,0.068630801,0.087171479,0.10153155,0.070316155,0.172539669,0.117440344,0.104748392,0.138216332,0.101884042,0.05536047,0.143587294,0.098755164,0.092141826,0.063813258
Sox2,0.000244141,0.000476578,0.003988329,0.008257953,0.007264101,0.000200376,0.005486113,0.021270533,0.022876339,0.008060025,0.029769937,0.006824788,0.003388823,0.014782151,0.024688791,0.00420115,0.004809158,0.016515907,0.011638105,0.00012039,0.0078125,0.007731693,0.001784827,0.000734984,0.00506578,0.00786684,0.006944083,0.002243551,0.016688522,0.00439476,0.003760135,0.001718065,0.004693891,0.002071656,0.005262631,0.00026902,0.003001709,0.018073253
Sall4,0.128514228,0.172539669,0.136786713,0.192109398,0.165511114,0.146097156,0.692554734,0.131670129,0.076946526,0.082183923,0.117440344,0.210953949,0.072042897,0.200267469,0.293208737,0.151249261,0.184283652,0.26061644,0.12200397,0.146604369,0.133971683,0.150204506,0.185565446,0.108067154,0.188809073,0.149684838,0.160428237,0.257028457,0.226094844,0.205897754,0.109196612,0.439824538,0.306721244,0.278355405,0.40332088,0.336808394,0.303548721,0.125869444
Sox17,0.016401823,0.032017401,0.066063628,0.049036506,0.054598306,0.011882647,0.063813258,0.015040538,0.006569503,0.001742048,0.027016788,0.052012421,0.049549009,0.045122787,0.13030822,0.042247214,0.01573368,0.132127255,0.046552421,0.018971795,0.105843164,0.032017401,0.053289681,0.0238478,0.069108166,0.033725882,0.019640834,0.079109787,0.047202268,0.06886907,0.023765293,0.098413497,0.037812315,0.102592701,0.144586023,0.057511728,0.072293011,0.01074642
Snail,0.026096497,0.039692218,0.027969533,0.020617311,0.027110584,0.021567459,0.008850655,0.0160087,0.009618316,0.002115186,0.071793647,0.007314627,0.039968299,0.005118724,0.002743056,0.027872766,0.033031814,0.016980232,0.003118353,0.064704058,0.016515907,0.020832792,0.022405551,0.034674046,0.022173802,0.033031814,0.037162722,0.027584469,0.007785471,0.016515907,0.014033318,0.034078367,0.080492602,0.063592481,0.003377099,0.028557233,0.017579039,0.014377932
Sox13,0.004304317,0.002330734,0.003086099,0.004274585,0.000188258,0.004172131,0.009290681,0.00137629,0.000123774,8.25E-05,0.000201072,0.004379555,9.28E-05,0.000164457,0.001004017,0.000115086,0.000232578,0.03018551,0.000119145,0.013230396,0.006896117,0.003250776,0.008088007,0.000111552,0.006730829,0.000227791,0.000156668,0.000224655,0.00020177,0.004742949,0.000149766,0.001718065,0.000287331,0.001293056,0.000258061,0.00026902,0.016288528,0.000254508
Tcfap2a,0.007188966,0.001284124,0.001480192,0.016630784,0.006150844,0.003582047,0.013508394,0.000168496,0.000123774,0.01020203,0.00638986,0.001181635,9.28E-05,0.008032139,0.013508394,0.001206464,0.000232578,0.000455583,0.001302049,0.00012039,0.001500855,7.23E-05,0.000147193,0.000111552,0.00020177,0.000227791,0.013230396,0.004742949,0.00020177,0.000182477,0.000149766,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.000265316,0.000254508
Tcfap2c,0.01991501,0.032464347,0.030606884,0.048697786,0.043134917,0.036778336,0.076415017,0.031358492,0.025916236,0.029056404,0.01845301,0.014427849,0.014833471,0.025737219,0.193445624,0.018775563,0.035158078,0.048361406,0.017640069,0.025916236,0.01551707,0.015463385,0.015303442,0.014477938,0.018262145,0.019505165,0.033725882,0.044501569,0.041955391,0.036906021,0.027110584,0.263340259,0.041955391,0.038606832,0.020760716,0.029769937,0.033492921,0.000254508
Tcf23,0.012691444,0.000167332,0.01135916,0.02179287,0.005582008,0.018645871,0.050765775,0.015040538,0.011125392,0.009453079,0.013139006,0.007572577,0.008344261,0.00464534,0.13030822,0.008881383,0.026278013,0.029769937,0.0160087,0.00522628,0.015303442,0.00350833,0.005410584,0.020905118,0.015463385,0.023683071,0.014782151,0.01845301,0.032690154,0.020193013,0.024433426,0.001718065,0.016232173,0.016232173,0.003129179,0.013792234,0.048027349,0.010237448
Utf1,0.004245058,0.001064949,0.010237448,0.010237448,0.002412927,0.004058043,0.003472042,0.003228322,0.000331202,0.002251341,0.006479059,0.003760135,0.014833471,0.009355302,0.042688758,0.006546774,0.004304317,0.019370433,0.015463385,0.006479059,0.000440064,0.015145153,0.024860515,0.026278013,0.038875364,0.011280697,0.017824433,0.045122787,0.031576608,0.023683071,0.020545981,0.058517015,0.012560172,0.039692218,0.017337023,0.014477938,0.012691444,0.01067219
Tspan8,0.000124635,0.000167332,0.000142179,0.000218512,0.000188258,0.000200376,0.000342882,0.000168496,0.000446207,8.25E-05,0.002421304,0.000310095,0.002550507,0.001939634,0.001004017,0.000115086,0.002559362,0.000455583,0.000214758,0.00012039,0.000112328,0.000222332,0.000147193,0.000111552,0.00020177,0.000227791,0.000156668,0.002781348,0.000406347,0.006215129,0.001648078,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.000265316,0.000254508
